Código Departamento;Departamento;Entidad;Codigo Dane
;;;0
10;Colombia;Colombia;1001000
50;Antioquia;Antioquia;5000000
50;Antioquia;Medellín;5001000
50;Antioquia;Abejorral;5002000
50;Antioquia;Abriaquí;5004000
50;Antioquia;Alejandría;5021000
50;Antioquia;Amagá;5030000
50;Antioquia;Amalfi;5031000
50;Antioquia;Andes;5034000
50;Antioquia;Angelópolis;5036000
50;Antioquia;Angostura;5038000
50;Antioquia;Anorí;5040000
50;Antioquia;Santafé de Antioquia;5042000
50;Antioquia;Anzá;5044000
50;Antioquia;Apartadó;5045000
50;Antioquia;Arboletes;5051000
50;Antioquia;Argelia;5055000
50;Antioquia;Armenia;5059000
50;Antioquia;Barbosa;5079000
50;Antioquia;Belmira;5086000
50;Antioquia;Bello;5088000
50;Antioquia;Betania;5091000
50;Antioquia;Betulia;5093000
50;Antioquia;Ciudad Bolívar;5101000
50;Antioquia;Briceño;5107000
50;Antioquia;Buriticá;5113000
50;Antioquia;Cáceres;5120000
50;Antioquia;Caicedo;5125000
50;Antioquia;Caldas;5129000
50;Antioquia;Campamento;5134000
50;Antioquia;Cañasgordas;5138000
50;Antioquia;Caracolí;5142000
50;Antioquia;Caramanta;5145000
50;Antioquia;Carepa;5147000
50;Antioquia;El Carmen de Viboral;5148000
50;Antioquia;Carolina;5150000
50;Antioquia;Caucasia;5154000
50;Antioquia;Chigorodó;5172000
50;Antioquia;Cisneros;5190000
50;Antioquia;Cocorná;5197000
50;Antioquia;Concepción;5206000
50;Antioquia;Concordia;5209000
50;Antioquia;Copacabana;5212000
50;Antioquia;Dabeiba;5234000
50;Antioquia;Don Matías;5237000
50;Antioquia;Ebéjico;5240000
50;Antioquia;El Bagre;5250000
50;Antioquia;Entrerrios;5264000
50;Antioquia;Envigado;5266000
50;Antioquia;Fredonia;5282000
50;Antioquia;Frontino;5284000
50;Antioquia;Giraldo;5306000
50;Antioquia;Girardota;5308000
50;Antioquia;Gómez Plata;5310000
50;Antioquia;Granada;5313000
50;Antioquia;Guadalupe;5315000
50;Antioquia;Guarne;5318000
50;Antioquia;Guatapé;5321000
50;Antioquia;Heliconia;5347000
50;Antioquia;Hispania;5353000
50;Antioquia;Itagüí;5360000
50;Antioquia;Ituango;5361000
50;Antioquia;Jardín;5364000
50;Antioquia;Jericó;5368000
50;Antioquia;La Ceja;5376000
50;Antioquia;La Estrella;5380000
50;Antioquia;La Pintada;5390000
50;Antioquia;La Unión;5400000
50;Antioquia;Liborina;5411000
50;Antioquia;Maceo;5425000
50;Antioquia;Marinilla;5440000
50;Antioquia;Montebello;5467000
50;Antioquia;Murindó;5475000
50;Antioquia;Mutatá;5480000
50;Antioquia;Nariño;5483000
50;Antioquia;Necoclí;5490000
50;Antioquia;Nechí;5495000
50;Antioquia;Olaya;5501000
50;Antioquia;Peñol;5541000
50;Antioquia;Peque;5543000
50;Antioquia;Pueblorrico;5576000
50;Antioquia;Puerto Berrío;5579000
50;Antioquia;Puerto Nare;5585000
50;Antioquia;Puerto Triunfo;5591000
50;Antioquia;Remedios;5604000
50;Antioquia;Retiro;5607000
50;Antioquia;Rionegro;5615000
50;Antioquia;Sabanalarga;5628000
50;Antioquia;Sabaneta;5631000
50;Antioquia;Salgar;5642000
50;Antioquia;San Andrés de Cuerquía;5647000
50;Antioquia;San Carlos;5649000
50;Antioquia;San Francisco;5652000
50;Antioquia;San Jerónimo;5656000
50;Antioquia;San José de La Montaña;5658000
50;Antioquia;San Juan de Urabá;5659000
50;Antioquia;San Luis;5660000
50;Antioquia;San Pedro de Los Milagros;5664000
50;Antioquia;San Pedro de Urabá;5665000
50;Antioquia;San Rafael;5667000
50;Antioquia;San Roque;5670000
50;Antioquia;San Vicente;5674000
50;Antioquia;Santa Bárbara;5679000
50;Antioquia;Santa Rosa de Osos;5686000
50;Antioquia;Santo Domingo;5690000
50;Antioquia;El Santuario;5697000
50;Antioquia;Segovia;5736000
50;Antioquia;Sonsón;5756000
50;Antioquia;Sopetrán;5761000
50;Antioquia;Támesis;5789000
50;Antioquia;Tarazá;5790000
50;Antioquia;Tarso;5792000
50;Antioquia;Titiribí;5809000
50;Antioquia;Toledo;5819000
50;Antioquia;Turbo;5837000
50;Antioquia;Uramita;5842000
50;Antioquia;Urrao;5847000
50;Antioquia;Valdivia;5854000
50;Antioquia;Valparaíso;5856000
50;Antioquia;Vegachí;5858000
50;Antioquia;Venecia;5861000
50;Antioquia;Vigía del Fuerte;5873000
50;Antioquia;Yalí;5885000
50;Antioquia;Yarumal;5887000
50;Antioquia;Yolombó;5890000
50;Antioquia;Yondó;5893000
50;Antioquia;Zaragoza;5895000
80;Atlántico;Atlántico;8000000
80;Atlántico;Barranquilla;8001000
80;Atlántico;Baranoa;8078000
80;Atlántico;Campo de La Cruz;8137000
80;Atlántico;Candelaria;8141000
80;Atlántico;Galapa;8296000
80;Atlántico;Juan de Acosta;8372000
80;Atlántico;Luruaco;8421000
80;Atlántico;Malambo;8433000
80;Atlántico;Manatí;8436000
80;Atlántico;Palmar de Varela;8520000
80;Atlántico;Piojó;8549000
80;Atlántico;Polonuevo;8558000
80;Atlántico;Ponedera;8560000
80;Atlántico;Puerto Colombia;8573000
80;Atlántico;Repelón;8606000
80;Atlántico;Sabanagrande;8634000
80;Atlántico;Sabanalarga;8638000
80;Atlántico;Santa Lucía;8675000
80;Atlántico;Santo Tomás;8685000
80;Atlántico;Soledad;8758000
80;Atlántico;Suan;8770000
80;Atlántico;Tubará;8832000
80;Atlántico;Usiacurí;8849000
130;Bolívar;Bolívar;13000000
130;Bolívar;Cartagena;13001000
130;Bolívar;Achí;13006000
130;Bolívar;Altos del Rosario;13030000
130;Bolívar;Arenal;13042000
130;Bolívar;Arjona;13052000
130;Bolívar;Arroyohondo;13062000
130;Bolívar;Barranco de Loba;13074000
130;Bolívar;Calamar;13140000
130;Bolívar;Cantagallo;13160000
130;Bolívar;Cicuco;13188000
130;Bolívar;Córdoba;13212000
130;Bolívar;Clemencia;13222000
130;Bolívar;El Carmen de Bolívar;13244000
130;Bolívar;El Guamo;13248000
130;Bolívar;El Peñón;13268000
130;Bolívar;Hatillo de Loba;13300000
130;Bolívar;Magangué;13430000
130;Bolívar;Mahates;13433000
130;Bolívar;Margarita;13440000
130;Bolívar;María La Baja;13442000
130;Bolívar;Montecristo;13458000
130;Bolívar;Mompós;13468000
130;Bolívar;Morales;13473000
130;Bolívar;Norosí;13490000
130;Bolívar;Pinillos;13549000
130;Bolívar;Regidor;13580000
130;Bolívar;Río Viejo;13600000
130;Bolívar;San Cristóbal;13620000
130;Bolívar;San Estanislao;13647000
130;Bolívar;San Fernando;13650000
130;Bolívar;San Jacinto;13654000
130;Bolívar;San Jacinto del Cauca;13655000
130;Bolívar;San Juan Nepomuceno;13657000
130;Bolívar;San Martín de Loba;13667000
130;Bolívar;San Pablo;13670000
130;Bolívar;Santa Catalina;13673000
130;Bolívar;Santa Rosa;13683000
130;Bolívar;Santa Rosa del Sur;13688000
130;Bolívar;Simití;13744000
130;Bolívar;Soplaviento;13760000
130;Bolívar;Talaigua Nuevo;13780000
130;Bolívar;Tiquisio;13810000
130;Bolívar;Turbaco;13836000
130;Bolívar;Turbaná;13838000
130;Bolívar;Villanueva;13873000
130;Bolívar;Zambrano;13894000
110;Bogotá;Bogotá;11001000
150;Boyacá;Boyacá;15000000
150;Boyacá;Tunja;15001000
150;Boyacá;Almeida;15022000
150;Boyacá;Aquitania;15047000
150;Boyacá;Arcabuco;15051000
150;Boyacá;Belén;15087000
150;Boyacá;Berbeo;15090000
